600.0000000000,24.8763394290
620.0000000000,24.1137406580
640.0000000000,23.5624644380
660.0000000000,22.9055269424
680.0000000000,22.3542507224
700.0000000000,21.8075684709
720.0000000000,21.3711414633
740.0000000000,20.8198652433
760.0000000000,20.3834382358
780.0000000000,19.9470112282
800.0000000000,19.5059902522
820.0000000000,19.1798184887
840.0000000000,18.7387975127
860.0000000000,18.5182870247
880.0000000000,18.0818600171
900.0000000000,17.8613495291
920.0000000000,17.4249225216
940.0000000000,17.0941567896
960.0000000000,16.8782402700
980.0000000000,16.5474745380
1000.0000000000,16.3269640500
1020.0000000000,16.1064535620
1040.0000000000,15.7802817985
1060.0000000000,15.6700265545
1080.0000000000,15.3435356374
1100.0000000000,15.1226231307
1120.0000000000,14.9052138896
1140.0000000000,14.6868140207
1160.0000000000,14.5733549942
1180.0000000000,14.2430804567
1200.0000000000,14.1367049216
1220.0000000000,13.9170364214
1240.0000000000,13.6965300619
1260.0000000000,13.5882991054
1280.0000000000,13.4796122080
1300.0000000000,13.2608962293
1320.0000000000,13.1530198228
1340.0000000000,13.0410310064
1360.0000000000,12.8203520638
1380.0000000000,12.6025095814
1400.0000000000,12.6049507455
1420.0000000000,12.3824394988
1440.0000000000,12.2752834028
1460.0000000000,12.1643331687
1480.0000000000,12.0530621012
1500.0000000000,11.8366757223
1520.0000000000,11.7261798563
1540.0000000000,11.7238292139
1560.0000000000,11.6144640671
1580.0000000000,11.3959294697
1600.0000000000,11.2903266717
1620.0000000000,11.1782334934
1640.0000000000,11.1767171838
1660.0000000000,11.0686938350
1680.0000000000,10.9603181594
1700.0000000000,10.8516025922
1720.0000000000,10.7397026863
1740.0000000000,10.6303751919
1760.0000000000,10.6296051539
1780.0000000000,10.4108105241
1800.0000000000,10.4124972055
