600.0000000000,24.8763394290
660.0000000000,22.9055269424
720.0000000000,21.3711414633
780.0000000000,19.9470112282
840.0000000000,18.7387975127
900.0000000000,17.8613495291
960.0000000000,16.8782402700
1020.0000000000,16.1064535620
1080.0000000000,15.3435356374
1140.0000000000,14.6868140207
1200.0000000000,14.1367049216
1260.0000000000,13.5882991054
1320.0000000000,13.1530198228
1380.0000000000,12.6025095814
1440.0000000000,12.2752834028
1500.0000000000,11.8366757223
1560.0000000000,11.6144640671
1620.0000000000,11.1782334934
1680.0000000000,10.9603181594
1740.0000000000,10.6303751919
