years_interp,seconds_interp,seconds_zero,sunspots_interp
1700.5,53626968000.0,0.0,8.3
1700.609589041096,53630424000.0,3456000.0,9.395890410958874
1700.7191780821918,53633880000.0,6912000.0,10.491780821917747
1700.8287671232877,53637336000.0,10368000.0,11.58767123287662
1700.9383561643835,53640792000.0,13824000.0,12.683561643835493
1701.0479452054794,53644248000.0,17280000.0,13.779452054794366
1701.1575342465753,53647704000.0,20736000.0,14.875342465753238
1701.2671232876712,53651160000.0,24192000.0,15.971232876712111
1701.376712328767,53654616000.0,27648000.0,17.067123287670984
1701.486301369863,53658072000.0,31104000.0,18.163013698629857
1701.5958904109589,53661528000.0,34560000.0,19.105479452054535
1701.7054794520548,53664984000.0,38016000.0,20.026027397259988
1701.8150684931506,53668440000.0,41472000.0,20.94657534246544
1701.9246575342465,53671896000.0,44928000.0,21.867123287670893
1702.0342465753424,53675352000.0,48384000.0,22.787671232876345
1702.1438356164383,53678808000.0,51840000.0,23.708219178081798
1702.2534246575342,53682264000.0,55296000.0,24.628767123287254
1702.36301369863,53685720000.0,58752000.0,25.549315068492707
1702.472602739726,53689176000.0,62208000.0,26.46986301369816
1702.5821917808219,53692632000.0,65664000.0,27.65342465753356
1702.6917808219177,53696088000.0,69120000.0,28.924657534245853
1702.8013698630136,53699544000.0,72576000.0,30.195890410958143
1702.9109589041095,53703000000.0,76032000.0,31.467123287670436
1703.0205479452054,53706456000.0,79488000.0,32.73835616438273
1703.1301369863013,53709912000.0,82944000.0,34.00958904109502
1703.2397260273972,53713368000.0,86400000.0,35.280821917807316
1703.349315068493,53716824000.0,89856000.0,36.552054794519606
1703.458904109589,53720280000.0,93312000.0,37.823287671231896
1703.5684931506848,53723736000.0,96768000.0,39.78630136986112
1703.6780821917807,53727192000.0,100224000.0,42.16438356164187
1703.7876712328766,53730648000.0,103680000.0,44.542465753422626
1703.8972602739725,53734104000.0,107136000.0,46.92054794520338
1704.0068493150684,53737560000.0,110592000.0,49.29863013698414
1704.1164383561643,53741016000.0,114048000.0,51.67671232876489
1704.2260273972602,53744472000.0,117504000.0,54.05479452054565
1704.335616438356,53747928000.0,120960000.0,56.432876712326404
1704.445205479452,53751384000.0,124416000.0,58.81095890410715
1704.5547945205478,53754840000.0,127872000.0,62.01095890410536
1704.6643835616437,53758296000.0,131328000.0,66.03287671232442
1704.7739726027396,53761752000.0,134784000.0,70.05479452054348
1704.8835616438355,53765208000.0,138240000.0,74.07671232876255
1704.9931506849314,53768664000.0,141696000.0,78.09863013698161
1705.1027397260273,53772120000.0,145152000.0,82.12054794520068
1705.2123287671232,53775576000.0,148608000.0,86.14246575341974
1705.321917808219,53779032000.0,152064000.0,90.1643835616388
1705.431506849315,53782488000.0,155520000.0,94.18630136985787
1705.5410958904108,53785944000.0,158976000.0,94.71095890411652
1705.6506849315067,53789400000.0,162432000.0,89.40684931507558
1705.7602739726026,53792856000.0,165888000.0,84.10273972603463
1705.8698630136985,53796312000.0,169344000.0,78.7986301369937
1705.9794520547944,53799768000.0,172800000.0,73.49452054795275
1706.0890410958903,53803224000.0,176256000.0,68.1904109589118
1706.1986301369861,53806679999.999985,179711999.99998474,62.88630136987085
1706.308219178082,53810135999.999985,183167999.99998474,57.58219178082991
1706.417808219178,53813591999.999985,186623999.99998474,52.27808219178896
1706.5273972602738,53817047999.999985,190079999.99998474,47.88904109589298
1706.6369863013697,53820503999.999985,193535999.99998474,46.24520547945467
1706.7465753424656,53823959999.999985,196991999.99998474,44.60136986301636
1706.8561643835615,53827415999.999985,200447999.99998474,42.95753424657805
1706.9657534246574,53830871999.999985,203903999.99998474,41.31369863013974
1707.0753424657532,53834327999.999985,207359999.99998474,39.66986301370143
1707.1849315068491,53837783999.999985,210815999.99998474,38.02602739726312
1707.294520547945,53841239999.999985,214271999.99998474,36.38219178082481
1707.404109589041,53844695999.999985,217727999.99998474,34.7383561643865
1707.5136986301368,53848151999.999985,221183999.99998474,33.072602739729334
1707.6232876712327,53851607999.999985,224639999.99998474,31.253424657537604
1707.7328767123286,53855063999.999985,228095999.99998474,29.434246575345874
1707.8424657534244,53858519999.999985,231551999.99998474,27.615068493154148
1707.9520547945203,53861975999.999985,235007999.99998474,25.795890410962418
1708.0616438356162,53865431999.999985,238463999.99998474,23.976712328770688
1708.171232876712,53868887999.999985,241919999.99998474,22.15753424657896
1708.280821917808,53872343999.999985,245375999.99998474,20.338356164387232
1708.3904109589039,53875799999.999985,248831999.99998474,18.519178082195502
1708.4999999999998,53879255999.999985,252287999.99998474,16.700000000003772
1708.6095890410957,53882711999.999985,255743999.99998474,16.327397260274754
1708.7191780821915,53886167999.999985,259199999.99998474,15.95479452054874
1708.8287671232874,53889623999.999985,262655999.99998474,15.582191780822722
1708.9383561643833,53893079999.999985,266111999.99998474,15.209589041096706
1709.0479452054792,53896535999.999985,269567999.99998474,14.83698630137069
1709.157534246575,53899991999.999985,273023999.99998474,14.464383561644672
1709.267123287671,53903447999.999985,276479999.99998474,14.091780821918656
1709.3767123287669,53906903999.999985,279935999.99998474,13.71917808219264
1709.4863013698628,53910359999.999985,283391999.99998474,13.346575342466622
1709.5958904109586,53913815999.999985,286847999.99998474,12.504109589043242
1709.7054794520545,53917271999.999985,290303999.99998474,11.594520547947377
1709.8150684931504,53920727999.999985,293759999.99998474,10.684931506851512
1709.9246575342463,53924183999.999985,297215999.99998474,9.77534246575565
1710.0342465753422,53927639999.999985,300671999.99998474,8.865753424659783
1710.143835616438,53931095999.999985,304127999.99998474,7.956164383563919
1710.253424657534,53934551999.999985,307583999.99998474,7.046575342468055
1710.3630136986299,53938007999.999985,311039999.99998474,6.13698630137219
